#nNodeR = 100 ,nNodeZ = 100
R Z Phi
0.00063 0.00015 4.76766e-73
0.00065 0.00015 1.26288e-73
0.00067 0.00015 3.25673e-74
0.00069 0.00015 8.18136e-75
0.00071 0.00015 2.00332e-75
0.00073 0.00015 4.78413e-76
0.00075 0.00015 1.11485e-76
0.00077 0.00015 2.53643e-77
0.00079 0.00015 5.63688e-78
0.00081 0.00015 1.22426e-78
0.00083 0.00015 2.59976e-79
0.00085 0.00015 5.40021e-80
0.00087 0.00015 1.09773e-80
0.00089 0.00015 2.18461e-81
0.00091 0.00015 4.25812e-82
0.00093 0.00015 8.132e-83
0.00095 0.00015 1.52222e-83
0.00097 0.00015 2.79394e-84
0.00099 0.00015 5.03e-85
0.00101 0.00015 8.88547e-86
0.00103 0.00015 1.54062e-86
0.00105 0.00015 2.62274e-87
0.00107 0.00015 4.38522e-88
0.00109 0.00015 7.20335e-89
0.00111 0.00015 1.16282e-89
0.00113 0.00015 1.84521e-90
0.00115 0.00015 2.87908e-91
0.00117 0.00015 4.41827e-92
0.00119 0.00015 6.67041e-93
0.00121 0.00015 9.90976e-94
0.00123 0.00015 1.44907e-94
0.00125 0.00015 2.08609e-95
0.00127 0.00015 2.9573e-96
0.00129 0.00015 4.12927e-97
0.00131 0.00015 5.68013e-98
0.00133 0.00015 7.69918e-99
0.00135 0.00015 1.02854e-99
